"","Protein1","Protein2","Gene1","Gene2","Context","StringScore","CC","MF","BP"
"316","O00268","Q7L8L6","TAF4","FASTKD5","poor",0,0.546,0.642,0.388
"317","O00287","P06733","RFXAP","ENO1","poor",0,0.45,0.612,0.334
"318","O00303","O15372","EIF3F","EIF3H","rich",999,0.907,0.851,0.651
"319","O00303","Q7L2H7","EIF3F","EIF3M","rich",999,0.897,0.766,0.72
"320","O00330","P10515","PDHX","DLAT","poor",991,0.979,0.816,1
"321","O00410","P61927","IPO5","RPL37","poor",0,0.612,0.553,0.175
"322","O00422","P13667","SAP18","PDIA4","poor",0,0.515,0.651,0.124
"323","O00422","Q9H307","SAP18","PNN","poor",998,0.666,0.751,0.483
"324","O00422","Q9UKV3","SAP18","ACIN1","poor",999,0.91,0.743,0.523
"325","O00425","P43243","IGF2BP3","MATR3","poor",464,0.584,0.747,0.443
"326","O00425","P61978","IGF2BP3","HNRNPK","poor",181,0.683,0.817,0.314
"327","O00461","P00558","GOLIM4","PGK1","poor",0,0.513,0,0
"328","O00468","Q00341","AGRN","HDLBP","poor",288,0.528,0.519,0.072
"329","O00479","O60814","HMGN4","H2BC12","rich",0,0.697,0.638,0.213
"330","O00479","P04908","HMGN4","H2AC4","poor",0,0.725,0.754,1
"331","O00479","P06899","HMGN4","H2BC11","rich",0,0.636,0.626,1
"332","O00479","P0C0S8","HMGN4","H2AC11","poor",179,0.753,0.777,0.871
"333","O00479","P0DPK2","HMGN4","H3Y1","poor",0,0.832,0.663,0
"334","O00479","P0DPK5","HMGN4","H3Y2","poor",0,0.832,0.517,0
"335","O00479","P20671","HMGN4","H2AC7","poor",0,0.753,0.639,0.871
"336","O00479","P23527","HMGN4","H2BC17","rich",0,0.76,0.662,0.46
"337","O00479","P26006","HMGN4","ITGA3","poor",0,0.24,0.648,0.31
"338","O00479","P33778","HMGN4","H2BC3","rich",0,0.751,0.662,0.46
"339","O00479","P57053","HMGN4","H2BC12L","rich",0,0.697,0.517,0.054
"340","O00479","P58876","HMGN4","H2BC5","rich",0,0.695,0.638,0
"341","O00479","P62807","HMGN4","H2BC4","rich",0,0.647,0.678,0.46
"342","O00479","P68431","HMGN4","H3C1","rich",0,0.594,0.661,1
"343","O00479","P84243","HMGN4","H3-3A","rich",0,0.633,0.664,0.715
"344","O00479","Q16695","HMGN4","H3-4","rich",0,0.737,0.662,1
"345","O00479","Q16778","HMGN4","H2BC21","rich",0,0.647,0.662,0.46
"346","O00479","Q5QNW6","HMGN4","H2BC18","rich",0,0.695,0.526,0
"347","O00479","Q5TEC6","HMGN4","H3-7","rich",0,0.832,0.517,0
"348","O00479","Q6FI13","HMGN4","H2AC18","poor",0,0.753,0.736,0.871
"349","O00479","Q6NXT2","HMGN4","H3-5","rich",0,0.867,0.775,0.261
"350","O00479","Q71DI3","HMGN4","H3C15","rich",0,0.687,0.662,1
"351","O00479","Q7L7L0","HMGN4","H2AW","poor",0,0,0,0
"352","O00479","Q8N257","HMGN4","H2BU1","rich",0,0,0,0
"353","O00479","Q93077","HMGN4","H2AC6","poor",0,0.744,0.736,0.871
"354","O00479","Q93079","HMGN4","H2BC9","rich",0,0.631,0.66,0.46
"355","O00479","Q96A08","HMGN4","H2BC1","rich",0,0.747,0.575,0.855
"356","O00479","Q96KK5","HMGN4","H2AC12","poor",0,0.753,0.639,0.871
"357","O00479","Q99877","HMGN4","H2BC15","rich",0,0.695,0.517,0.46
"358","O00479","Q99878","HMGN4","H2AC14","poor",0,0,0,0
"359","O00479","Q99879","HMGN4","H2BC14","rich",0,0.695,0.517,0.46
"360","O00479","Q99880","HMGN4","H2BC13","rich",0,0.695,0.662,0.46
"361","O00479","Q9GZR7","HMGN4","DDX24","poor",0,0.523,0.476,0.094
"362","O00487","P51665","PSMD14","PSMD7","poor",999,0.921,0.415,1
"363","O00487","Q15008","PSMD14","PSMD6","poor",999,0.957,1,1
"364","O00487","Q99460","PSMD14","PSMD1","poor",999,0.876,0.456,0.537
"365","O00487","Q9UIF9","PSMD14","BAZ2A","poor",0,0.63,0.505,0.265
"366","O00487","Q9UNM6","PSMD14","PSMD13","poor",999,0.961,0.306,0.53
"367","O00507","P26639","USP9Y","TARS1","poor",0,0.696,0.291,0.328
"368","O00507","P31689","USP9Y","DNAJA1","poor",0,0.758,0.333,0.333
"369","O00515","P60709","LAD1","ACTB","poor",0,0.404,0.433,0
"370","O00515","P62736","LAD1","ACTA2","poor",0,0.549,0.27,0
"371","O00515","P63261","LAD1","ACTG1","poor",0,0.423,0.481,0
"372","O00515","P63267","LAD1","ACTG2","poor",0,0.529,0.215,0
"373","O00515","P68032","LAD1","ACTC1","poor",0,0.454,0.273,0
"374","O00515","P68133","LAD1","ACTA1","poor",0,0.591,0.465,0
"375","O00515","Q562R1","LAD1","ACTBL2","poor",0,0.501,0.494,0
"376","O00541","P52948","PES1","NUP98","poor",168,0.686,0.593,0.223
"377","O00541","Q14137","PES1","BOP1","poor",999,0.87,1,0.828
"378","O00541","Q9P299","PES1","COPZ2","poor",0,0.466,0,0.183
"379","O00567","P22087","NOP56","FBL","poor",999,0.87,0.677,0.622
"380","O00567","P55769","NOP56","SNU13","rich",999,0.729,0.858,0.689
"381","O00567","P62241","NOP56","RPS8","poor",992,0.801,0.798,0.695
"382","O00567","Q00688","NOP56","FKBP3","poor",262,0.697,0.695,0
"383","O00567","Q14789","NOP56","GOLGB1","poor",0,0.527,0.844,0.197
"384","O00567","Q8TAQ2","NOP56","SMARCC2","poor",0,0.584,0.608,0.15
"385","O00567","Q9Y2X3","NOP56","NOP58","poor",999,0.975,0.842,0.813
"386","O00743","Q5H9R7","PPP6C","PPP6R3","poor",999,0.82,0.472,0.604
"387","O14497","Q6STE5","ARID1A","SMARCD3","poor",996,0.99,0.785,0.805
"388","O14497","Q92785","ARID1A","DPF2","poor",996,0.895,0.585,0.763
"389","O14497","Q92925","ARID1A","SMARCD2","rich",996,0.902,0.795,0.847
"390","O14497","Q96GM5","ARID1A","SMARCD1","poor",999,0.941,0.739,0.906
"391","O14514","O95477","ADGRB1","ABCA1","poor",357,0.553,0.41,0.375
"392","O14514","P04908","ADGRB1","H2AC4","poor",0,0.278,0.496,0.263
"393","O14514","P0C0S8","ADGRB1","H2AC11","poor",0,0.281,0.543,0.194
"394","O14514","P20671","ADGRB1","H2AC7","poor",0,0.281,0.396,0.194
"395","O14514","P49756","ADGRB1","RBM25","poor",0,0.397,0.517,0.168
"396","O14514","Q16777","ADGRB1","H2AC20","poor",0,0.281,0.396,0.194
"397","O14514","Q5VYK3","ADGRB1","ECPAS","poor",0,0.492,0.54,0.134
"398","O14514","Q6FI13","ADGRB1","H2AC18","poor",0,0.281,0.529,0.194
"399","O14514","Q7L7L0","ADGRB1","H2AW","poor",0,0,0,0
"400","O14514","Q93077","ADGRB1","H2AC6","poor",0,0.296,0.529,0.262
"401","O14514","Q96KK5","ADGRB1","H2AC12","poor",0,0.281,0.396,0.194
"402","O14514","Q99878","ADGRB1","H2AC14","poor",0,0,0,0
"403","O14514","Q9BTM1","ADGRB1","H2AJ","poor",0,0.281,0.396,0.194
"404","O14519","P06733","CDK2AP1","ENO1","poor",0,0.679,0.491,0.328
"405","O14530","P49368","TXNDC9","CCT3","poor",772,0.636,0.484,0.265
"406","O14544","P62304","SOCS6","SNRPE","poor",0,0.434,0.613,0.133
"407","O14544","Q9H875","SOCS6","PRKRIP1","poor",0,0.295,0.595,0.2
"408","O14561","P14927","NDUFAB1","UQCRB","poor",973,0.704,1,0.546
"409","O14602","Q13442","EIF1AY","PDAP1","poor",0,0.841,0.872,0.121
"410","O14604","P60709","TMSB4Y","ACTB","poor",0,0.554,0.53,0.21
"411","O14604","P62736","TMSB4Y","ACTA2","poor",0,0.55,0.359,0.185
"412","O14604","P63261","TMSB4Y","ACTG1","poor",0,0.594,0.551,0.317
"413","O14604","P63267","TMSB4Y","ACTG2","poor",0,0.622,0.187,0.072
"414","O14604","P68032","TMSB4Y","ACTC1","poor",0,0.554,0.39,0.378
"415","O14604","P68133","TMSB4Y","ACTA1","poor",0,0.596,0.508,0.182
"416","O14604","Q562R1","TMSB4Y","ACTBL2","poor",0,0.576,0.561,0.407
"417","O14617","P35579","AP3D1","MYH9","poor",222,0.495,1,0.329
"418","O14617","Q92572","AP3D1","AP3S1","poor",999,0.798,1,0.784
"419","O14713","P47914","ITGB1BP1","RPL29","poor",0,0.671,0.398,0.119
"420","O14715","P57740","RGPD8","NUP107","poor",642,0.739,0.348,0.426
"421","O14734","O95678","ACOT8","KRT75","poor",0,0.477,0.306,0.12
"422","O14734","P02538","ACOT8","KRT6A","poor",0,0.546,0.259,0.129
"423","O14734","P04259","ACOT8","KRT6B","poor",0,0.564,0.259,0.116
"424","O14734","P05787","ACOT8","KRT8","poor",0,0.468,0.323,0.085
"425","O14734","P08729","ACOT8","KRT7","poor",0,0.536,0.262,0.123
"426","O14734","P12035","ACOT8","KRT3","poor",0,0.512,0.262,0.162
"427","O14734","P13647","ACOT8","KRT5","poor",0,0.546,0.295,0.121
"428","O14734","P35908","ACOT8","KRT2","poor",0,0.505,0.295,0.166
"429","O14734","P48668","ACOT8","KRT6C","poor",0,0.512,0.262,0.167
"430","O14734","Q01546","ACOT8","KRT76","poor",0,0.521,0.262,0.166
"431","O14734","Q5XKE5","ACOT8","KRT79","poor",0,0.564,0.3,0.123
"432","O14734","Q7Z794","ACOT8","KRT77","poor",0,0.494,0.392,0.165
"433","O14734","Q9NSB2","ACOT8","KRT84","poor",0,0.564,0.143,0.109
"434","O14737","P49368","PDCD5","CCT3","poor",420,0.673,0.497,0.269
"435","O14737","P50990","PDCD5","CCT8","poor",404,0.62,0.464,0.269
"436","O14737","P50991","PDCD5","CCT4","rich",413,0.667,0.497,0.267
"437","O14764","Q9NYL5","GABRD","CYP39A1","poor",0,0.176,0.153,0.191
"438","O14776","P15311","TCERG1","EZR","poor",0,0.303,0.667,0.195
"439","O14776","P26038","TCERG1","MSN","poor",0,0.351,0.625,0.139
"440","O14776","P35241","TCERG1","RDX","poor",0,0.237,0.645,0.131
"441","O14776","P42704","TCERG1","LRPPRC","poor",0,0.618,0.615,0.347
"442","O14782","P35579","KIF3C","MYH9","poor",171,0.461,0.741,0.474
"443","O14782","P35580","KIF3C","MYH10","poor",196,0.532,0.724,0.474
"444","O14782","P35749","KIF3C","MYH11","poor",247,0.553,0.756,0.195
"445","O14782","Q7Z406","KIF3C","MYH14","poor",171,0.511,0.748,0.474
"446","O14802","P0DPB6","POLR3A","POLR1D","poor",999,0.562,0.796,0.598
"447","O14810","O95678","CPLX1","KRT75","poor",0,0.41,0.603,0.097
"448","O14810","P05787","CPLX1","KRT8","poor",0,0.442,0.708,0.138
"449","O14810","P13647","CPLX1","KRT5","poor",0,0.48,0.607,0.169
"450","O14818","P09884","PSMA7","POLA1","poor",0,0.68,0.497,0.235
"451","O14818","P25789","PSMA7","PSMA4","rich",999,0.937,1,1
"452","O14818","P35998","PSMA7","PSMC2","poor",999,0.768,0.528,1
"453","O14827","P35998","RASGRF2","PSMC2","poor",0,0.56,0.33,0.106
"454","O14828","Q8NDH2","SCAMP3","CCDC168","poor",0,0.335,0,0
"455","O14830","P06733","PPEF2","ENO1","poor",0,0.638,0.384,0.239
"456","O14832","O95166","PHYH","GABARAP","poor",0,0.511,0.516,0.154
"457","O14949","P08574","UQCRQ","CYC1","poor",999,0.877,0,0.328
"458","O14950","P35579","MYL12B","MYH9","poor",998,0.632,0.517,1
"459","O14950","P35580","MYL12B","MYH10","poor",971,0.754,0.493,1
"460","O14958","P62304","CASQ2","SNRPE","poor",0,0.433,0.59,0.108
"461","O14958","Q9H875","CASQ2","PRKRIP1","poor",0,0.374,0.536,0.15
"462","O14967","Q8NA82","CLGN","MARCHF10","poor",0,0,0.548,0.248
"463","O14979","P06396","HNRNPDL","GSN","poor",170,0.497,0.502,0.779
"464","O14979","P07910","HNRNPDL","HNRNPC","poor",823,0.583,0.809,0.341
"465","O14979","P09651","HNRNPDL","HNRNPA1","poor",868,0.647,0.805,0.52
"466","O14979","P22626","HNRNPDL","HNRNPA2B1","poor",877,0.625,0.729,0.433
"467","O14979","P51991","HNRNPDL","HNRNPA3","poor",463,0.604,0.846,0.264
"468","O14979","Q14103","HNRNPDL","HNRNPD","poor",831,0.685,0.785,1
"469","O14979","Q14119","HNRNPDL","VEZF1","poor",0,0.759,0.475,0.422
"470","O14979","Q6UX27","HNRNPDL","VSTM1","poor",0,0.332,0.474,0.192
"471","O14979","Q8IUX7","HNRNPDL","AEBP1","poor",0,0.555,0.398,0.412
"472","O14979","Q8WXH0","HNRNPDL","SYNE2","poor",0,0.526,0.495,0.105
"473","O14981","Q12874","BTAF1","SF3A3","poor",0,0.747,0.312,0.186
"474","O14981","Q8NC51","BTAF1","SERBP1","poor",0,0.533,0.328,0.335
"475","O15020","P12270","SPTBN2","TPR","poor",0,0.516,0.476,0.246
"476","O15020","Q13813","SPTBN2","SPTAN1","poor",962,0.779,0.77,0.486
"477","O15020","Q7KZF4","SPTBN2","SND1","poor",0,0.549,0.389,0.207
"478","O15027","P20810","SEC16A","CAST","poor",0,0.765,1,0.17
"479","O15031","Q14692","PLXNB2","BMS1","poor",0,0.262,0.203,0.101
"480","O15042","O60814","U2SURP","H2BC12","poor",0,0.701,0.676,0.133
"481","O15042","P06899","U2SURP","H2BC11","poor",0,0.596,0.663,0.133
"482","O15042","P57053","U2SURP","H2BC12L","poor",0,0.701,0.585,0.037
"483","O15042","P62807","U2SURP","H2BC4","poor",0,0.651,0.722,0.038
"484","O15042","Q16778","U2SURP","H2BC21","poor",0,0.651,0.711,0.038
"485","O15042","Q8IWX8","U2SURP","CHERP","poor",996,0.583,0.958,1
"486","O15042","Q93079","U2SURP","H2BC9","poor",0,0.639,0.692,0.038
"487","O15042","Q96I25","U2SURP","RBM17","poor",997,0.842,1,0.695
"488","O15068","P42166","MCF2L","TMPO","poor",0,0.382,0.252,0
"489","O15068","P42167","MCF2L","TMPO","poor",0,0.382,0.252,0
"490","O15068","P63241","MCF2L","EIF5A","poor",0,0.7,0.219,0.271
"491","O15068","Q08999","MCF2L","RBL2","poor",0,0.531,0.245,0.184
"492","O15068","Q6IS14","MCF2L","EIF5AL1","poor",0,0.325,0.165,0.085
"493","O15068","Q9BZJ0","MCF2L","CRNKL1","poor",0,0.307,0.259,0.06
"494","O15068","Q9GZV4","MCF2L","EIF5A2","poor",0,0.554,0.231,0.082
"495","O15068","Q9P2D7","MCF2L","DNAH1","poor",0,0.468,0.155,0.098
"496","O15078","Q9NVI1","CEP290","FANCI","poor",0,0.673,0.754,0.147
"497","O15143","O15144","ARPC1B","ARPC2","rich",999,0.755,1,0.455
"498","O15143","P61158","ARPC1B","ACTR3","poor",999,0.804,0.882,0.26
"499","O15143","P61160","ARPC1B","ACTR2","rich",999,0.78,0.882,0.246
"500","O15144","P0CG47","ARPC2","UBB","poor",0,0.692,0.621,0.115
"501","O15144","P0CG48","ARPC2","UBC","poor",0,0.657,0.588,0.054
"502","O15144","P61158","ARPC2","ACTR3","poor",999,0.831,0.882,0.544
"503","O15144","P61160","ARPC2","ACTR2","rich",999,0.792,0.882,0.436
"504","O15144","P62979","ARPC2","RPS27A","poor",0,0.67,0.576,0.058
"505","O15144","P62987","ARPC2","UBA52","poor",0,0.646,0.643,0.057
"506","O15145","P61158","ARPC3","ACTR3","rich",999,0.91,0.882,0.47
"507","O15145","P61160","ARPC3","ACTR2","poor",999,0.84,0.882,0.352
"508","O15160","P62875","POLR1C","POLR2L","poor",999,0.946,0.918,0.888
"509","O15173","Q96A33","PGRMC2","CCDC47","poor",0,0.66,0.477,0.224
"510","O15212","P50991","PFDN6","CCT4","poor",975,0.52,0.55,0.505
"511","O15264","Q5SSJ5","MAPK13","HP1BP3","poor",0,0.6,0.41,0.278
"512","O15269","P62847","SPTLC1","RPS24","poor",193,0.535,0.438,0.304
"513","O15305","P14618","PMM2","PKM","poor",0,0.524,0.507,0.207
"514","O15318","P0CG47","POLR3G","UBB","poor",0,0.628,0.597,0.154
"515","O15318","P0CG48","POLR3G","UBC","poor",0,0.663,0.571,0.13
"516","O15318","P62979","POLR3G","RPS27A","poor",0,0.613,0.499,0.258
"517","O15318","P62987","POLR3G","UBA52","poor",0,0.636,0.544,0.228
"518","O15347","O60814","HMGB3","H2BC12","rich",0,0.761,0.732,0.407
"519","O15347","P04908","HMGB3","H2AC4","poor",204,0.645,0.735,0.293
"520","O15347","P06899","HMGB3","H2BC11","rich",0,0.694,0.723,0.408
"521","O15347","P0C0S8","HMGB3","H2AC11","poor",214,0.666,0.597,0.235
"522","O15347","P20671","HMGB3","H2AC7","poor",204,0.666,0.479,0.235
"523","O15347","P23527","HMGB3","H2BC17","rich",0,0.811,0.762,0.328
"524","O15347","P26583","HMGB3","HMGB2","poor",195,0.789,0.815,0.522
"525","O15347","P33778","HMGB3","H2BC3","rich",0,0.828,0.762,0.328
"526","O15347","P57053","HMGB3","H2BC12L","rich",0,0.761,0.689,0.377
"527","O15347","P58876","HMGB3","H2BC5","rich",0,0.747,0.732,0
"528","O15347","P62807","HMGB3","H2BC4","rich",199,0.71,0.765,0.394
"529","O15347","P68431","HMGB3","H3C1","poor",340,0.596,0.751,0.331
"530","O15347","P84243","HMGB3","H3-3A","poor",279,0.644,0.574,0.241
"531","O15347","Q15008","HMGB3","PSMD6","poor",0,0.517,1,0.269
"532","O15347","Q16695","HMGB3","H3-4","poor",0,0.707,0.762,0.237
"533","O15347","Q16778","HMGB3","H2BC21","rich",0,0.71,0.762,0.394
"534","O15347","Q5QNW6","HMGB3","H2BC18","rich",0,0.747,0.665,0
"535","O15347","Q5TEC6","HMGB3","H3-7","poor",0,0.732,0.689,0
"536","O15347","Q6FI13","HMGB3","H2AC18","poor",0,0.666,0.565,0.235
"537","O15347","Q6NXT2","HMGB3","H3-5","poor",0,0.765,0.576,0.178
"538","O15347","Q71DI3","HMGB3","H3C15","poor",0,0.654,0.762,0.237
"539","O15347","Q7L7L0","HMGB3","H2AW","poor",0,0,0,0
"540","O15347","Q8N257","HMGB3","H2BU1","rich",0,0,0,0
"541","O15347","Q93077","HMGB3","H2AC6","poor",0,0.671,0.565,0.269
"542","O15347","Q93079","HMGB3","H2BC9","rich",0,0.693,0.735,0.328
"543","O15347","Q96A08","HMGB3","H2BC1","rich",0,0.738,0.69,0.317
"544","O15347","Q96KK5","HMGB3","H2AC12","poor",0,0.666,0.479,0.235
"545","O15347","Q99877","HMGB3","H2BC15","rich",199,0.747,0.689,0.328
"546","O15347","Q99878","HMGB3","H2AC14","poor",204,0,0,0
"547","O15347","Q99879","HMGB3","H2BC14","rich",0,0.747,0.689,0.328
"548","O15347","Q99880","HMGB3","H2BC13","rich",201,0.747,0.762,0.328
"549","O15355","P10412","PPM1G","H1-4","poor",0,0.596,0.421,0.166
"550","O15355","P16401","PPM1G","H1-5","poor",0,0.655,0.421,0.155
"551","O15355","P16403","PPM1G","H1-2","poor",0,0.596,0.397,0.166
"552","O15355","P68431","PPM1G","H3C1","poor",0,0.722,0.494,0.201
"553","O15355","Q16695","PPM1G","H3-4","poor",0,0.641,0.474,0.12
"554","O15355","Q5TEC6","PPM1G","H3-7","poor",0,0.715,0.329,0
"555","O15355","Q71DI3","PPM1G","H3C15","poor",0,0.687,0.474,0.12
"556","O15371","O15372","EIF3D","EIF3H","poor",999,0.907,0.756,0.612
"557","O15371","P51659","EIF3D","HSD17B4","poor",0,0.652,0.194,0.182
"558","O15371","P56192","EIF3D","MARS1","poor",393,0.7,0.488,0.4
"559","O15371","Q99613","EIF3D","EIF3C","poor",999,0.876,0.868,0.815
"560","O15372","P60228","EIF3H","EIF3E","poor",999,0.81,0.755,0.747
"561","O15372","Q14152","EIF3H","EIF3A","poor",999,0.815,0.734,0.656
"562","O15372","Q99613","EIF3H","EIF3C","poor",999,0.866,0.728,0.722
"563","O15372","Q9Y262","EIF3H","EIF3L","rich",999,0.815,0.767,0.713
"564","O15391","P04908","YY2","H2AC4","poor",0,0.552,0.446,0.087
"565","O15391","P0C0S8","YY2","H2AC11","poor",0,0.601,0.302,0.069
"566","O15391","P16401","YY2","H1-5","poor",0,0.588,0.466,0.288
"567","O15391","P20671","YY2","H2AC7","poor",0,0.601,0.337,0.069
"568","O15391","Q16777","YY2","H2AC20","poor",0,0.601,0.337,0.069
"569","O15391","Q6FI13","YY2","H2AC18","poor",0,0.601,0.341,0.069
"570","O15391","Q7L7L0","YY2","H2AW","poor",0,0,0,0
"571","O15391","Q8IUE6","YY2","H2AC21","poor",0,0.601,0.341,0.069
"572","O15391","Q93077","YY2","H2AC6","poor",0,0.615,0.341,0.112
"573","O15391","Q96KK5","YY2","H2AC12","poor",0,0.601,0.337,0.069
"574","O15391","Q96QV6","YY2","H2AC1","poor",0,0.595,0.286,0.045
"575","O15391","Q99878","YY2","H2AC14","poor",0,0,0,0
"576","O15391","Q9BTM1","YY2","H2AJ","poor",0,0.601,0.337,0.069
"577","O15394","P11142","NCAM2","HSPA8","poor",0,0.518,0.788,0.144
"578","O15405","P10412","TOX3","H1-4","poor",190,0.625,0.688,0.36
"579","O15405","P16402","TOX3","H1-3","poor",190,0.604,0.516,0.36
"580","O15484","P38646","CAPN5","HSPA9","poor",0,0.613,0.149,0.18
"581","O15511","P59998","ARPC5","ARPC4","poor",999,0.798,0.877,0.721
"582","O15511","P61158","ARPC5","ACTR3","poor",999,0.869,0.882,0.438
"583","O15511","P61160","ARPC5","ACTR2","poor",999,0.918,0.882,0.352
"584","O15541","P42766","RNF113A","RPL35","poor",0,0.471,0.244,0.339
"585","O15541","Q7KZ85","RNF113A","SUPT6H","poor",0,0.767,0.534,0.34
"586","O43143","P16949","DHX15","STMN1","poor",0,0.448,0.388,0.25
"587","O43143","Q13586","DHX15","STIM1","poor",0,0.445,0.403,0.108
"588","O43159","P78347","RRP8","GTF2I","poor",0,0.754,0.515,0.333
"589","O43159","Q9H875","RRP8","PRKRIP1","poor",0,0.68,0.629,0.298
"590","O43169","P00387","CYB5B","CYB5R3","poor",936,0.75,0.541,0.428
"591","O43175","Q9Y6I3","PHGDH","EPN1","poor",177,0.497,0.232,0.281
"592","O43181","P56556","NDUFS4","NDUFA6","poor",999,0.928,1,0.663
"593","O43237","Q14204","DYNC1LI2","DYNC1H1","poor",999,0.776,0.596,0.433
"594","O43242","P48556","PSMD3","PSMD8","rich",999,0.825,1,1
"595","O43242","Q15008","PSMD3","PSMD6","poor",999,0.922,1,1
"596","O43290","O43776","SART1","NARS1","poor",0,0.556,0.662,0.22
"597","O43290","O75643","SART1","SNRNP200","poor",999,0.838,0.597,0.69
"598","O43290","P62314","SART1","SNRPD1","poor",997,0.85,1,0.764
"599","O43290","P62316","SART1","SNRPD2","poor",999,0.836,1,0.764
"600","O43290","Q6P2Q9","SART1","PRPF8","rich",999,0.854,0.828,0.644
"601","O43303","P07737","CCP110","PFN1","poor",0,0.561,1,0.307
"602","O43303","P38646","CCP110","HSPA9","poor",0,0.418,1,0.191
"603","O43304","P04908","SEC14L5","H2AC4","poor",0,0.396,1,0
"604","O43304","P0C0S8","SEC14L5","H2AC11","poor",0,0.396,1,0
"605","O43304","P20671","SEC14L5","H2AC7","poor",0,0.396,0.657,0
"606","O43304","Q16777","SEC14L5","H2AC20","poor",0,0.396,0.657,0
"607","O43304","Q6FI13","SEC14L5","H2AC18","poor",0,0.396,1,0
"608","O43304","Q7L7L0","SEC14L5","H2AW","poor",0,0,0,0
"609","O43304","Q93077","SEC14L5","H2AC6","poor",0,0.396,1,0
"610","O43304","Q96KK5","SEC14L5","H2AC12","poor",0,0.396,0.657,0
"611","O43304","Q99878","SEC14L5","H2AC14","poor",0,0,0,0
"612","O43304","Q9BTM1","SEC14L5","H2AJ","poor",0,0.396,0.657,0
"613","O43324","P14868","EEF1E1","DARS1","poor",999,0.683,1,0.339
"614","O43324","P17480","EEF1E1","UBTF","poor",0,0.8,1,0.264
"615","O43390","P09651","HNRNPR","HNRNPA1","poor",999,0.8,0.762,0.335
"616","O43390","P09874","HNRNPR","PARP1","poor",0,0.673,0.426,0.172
"617","O43390","P22626","HNRNPR","HNRNPA2B1","poor",993,0.812,0.733,0.436
"618","O43390","P51991","HNRNPR","HNRNPA3","poor",951,0.948,0.949,1
"619","O43402","Q15006","EMC8","EMC2","poor",999,0.923,1,1
"620","O43423","P61978","ANP32C","HNRNPK","poor",0,0,0,0
"621","O43423","Q15365","ANP32C","PCBP1","poor",0,0,0,0
"622","O43448","P11021","KCNAB3","HSPA5","poor",0,0.569,0.525,0.104
"623","O43491","Q03252","EPB41L2","LMNB2","poor",0,0.452,0.757,0.408
"624","O43491","Q8WXH0","EPB41L2","SYNE2","poor",0,0.696,0.721,0.227
"625","O43491","Q96CB8","EPB41L2","INTS12","poor",0,0.509,0.653,0.119
"626","O43491","Q9P2B2","EPB41L2","PTGFRN","poor",0,0.431,1,0.317
"627","O43541","P06733","SMAD6","ENO1","poor",0,0.664,0.61,0.284
"628","O43633","P45880","CHMP2A","VDAC2","poor",165,0.542,0.562,0.242
"629","O43660","Q13573","PLRG1","SNW1","poor",999,0.868,1,0.251
"630","O43660","Q9H1H9","PLRG1","KIF13A","poor",0,0.375,1,0.243
"631","O43660","Q9UMS4","PLRG1","PRPF19","poor",999,0.847,1,0.446
"632","O43663","Q03252","PRC1","LMNB2","poor",534,0.505,0.66,0.364
"633","O43670","O43684","ZNF207","BUB3","poor",998,0.744,0.573,0.588
"634","O43674","O43920","NDUFB5","NDUFS5","poor",999,0.897,1,1
"635","O43674","Q86Y39","NDUFB5","NDUFA11","poor",999,0.934,1,0.918
"636","O43681","Q9BQG0","GET3","MYBBP1A","poor",0,0.736,0.205,0.08
"637","O43707","O75436","ACTN4","VPS26A","poor",0,0.479,1,0.256
"638","O43707","P60709","ACTN4","ACTB","poor",922,0.743,0.536,0.381
"639","O43707","P62736","ACTN4","ACTA2","poor",548,0.717,0.293,0.313
"640","O43707","P63261","ACTN4","ACTG1","poor",946,0.755,0.489,0.349
"641","O43707","P63267","ACTN4","ACTG2","poor",559,0.683,0.195,0.135
"642","O43707","P68032","ACTN4","ACTC1","poor",618,0.726,0.337,0.376
"643","O43707","P68133","ACTN4","ACTA1","poor",966,0.703,0.469,0.261
"644","O43707","Q562R1","ACTN4","ACTBL2","poor",287,0.661,0.49,0.296
"645","O43707","Q86SM5","ACTN4","MRGPRG","poor",0,1,0.147,0.736
"646","O43707","Q8NBJ5","ACTN4","COLGALT1","poor",0,0.421,0.114,0.146
"647","O43768","Q6DD88","ENSA","ATL3","poor",0,0.511,0.413,0.174
"648","O43768","Q9UQE7","ENSA","SMC3","poor",0,0.606,0.401,0.443
"649","O43776","P46778","NARS1","RPL21","poor",0,0.72,0.613,0.543
"650","O43776","P62753","NARS1","RPS6","poor",352,0.528,0.609,0.358
"651","O43776","Q12888","NARS1","TP53BP1","poor",0,0.508,0.581,0.211
"652","O43790","P02533","KRT86","KRT14","poor",209,0.72,0.689,0.696
"653","O43790","P05783","KRT86","KRT18","poor",0,0.657,0.724,0.279
"654","O43790","P05787","KRT86","KRT8","poor",519,0.59,0.711,0.209
"655","O43790","P08727","KRT86","KRT19","poor",155,0.59,0.726,0.515
"656","O43790","P08779","KRT86","KRT16","poor",271,0.733,0.772,0.536
"657","O43790","P13645","KRT86","KRT10","poor",0,0.751,0.931,0.609
"658","O43790","P19012","KRT86","KRT15","poor",456,0.744,0.775,0.732
"659","O43790","Q04695","KRT86","KRT17","poor",159,0.743,0.871,0.631
"660","O43790","Q99456","KRT86","KRT12","poor",0,0.801,0.743,0.579
"661","O43795","P0DP23","MYO1B","CALM1","poor",458,0.582,0.464,0.138
